pmid,target_response
17532545,Anti-Platelet / Thrombin Inhibitor / TXA(2) Formation Inhibitor
23241029,MATE1 Inhibitor
20421396,Beta-Lactamase Inhibitor / Antibiotic
29271204,AdoMetDC Inhibitor / Anti-Trypanosomiasis / Anti-HAT
18055202,Alpha1a/1d-Selective Adrenergic Receptor Antagonist / BPH/LUTS Treatment
20117005,DHFR Inhibitor
22154350,DNA Ligase Inhibitor / Antibiotic
29527284,Cytotoxic
15615524,COX-2 Inhibitor / Anti-Inflammatory
27680587,Antibiotic
21940072,Antimalarial
27704807,Cytotoxic
19427203,JAK3 Inhibitor
17904366,CDK2 Inhibitor
30344900,NLRP3 Inhibitor
16019209,NK1 Receptor Antagonist
21985377,Anti-Melanoma / ERK1/2 Inhibitor
33892275,Sirtuin Inhibitor / Antibiotic
24880231,RNase J1/J2 Inhibitor / GAS Inhibitor
22658536,Duplex-Forming / Triplex-Forming / Nuclease-Resistant
27555286,Cytostatic / G2/M Phase Arrest
30660499,V600E-B-RAF Inhibitor / Cytostatic
18334983,hTRPA1 Activator
627999,MAO Inhibitor
19450980,11beta-HSD1 Inhibitor
23199480,Tissue Factor Inhibitor
8302267,Bradykinin Receptor
24012179,Protein Tyrosine Phosphatase 1B Inhibitor
32529824,NO_CHEMICAL_FUNCTIONAL_DESCRIPTORS
22818848,EGFR Inhibitor / Src Inhibitor / Cytostatic
16610785,CYP2D6 Ligand
21885289,Cell Wall Fragility / Chitin-Binding / Antifungal
18053716,PTP1B Inhibitor
20064716,Neuraminidase Inhibitor
29133036,H2S Donor / Vasorelaxant
22607672,CGRP Receptor Antagonist
15456246,Estrogen Receptor-beta Agonist
10915058,Antifungal
27265687,Anticancer / Alpha2-adrenoceptor Antagonist / Apoptosis Inducer
9548817,Selective Estrogen Receptor Modulator / SERM / Bone Protection
27400333,Cytotoxic
29031059,Histone Demethylase Inhibitor / Antidepressant / LSD1 Inhibitor
2704029,COMT Inhibitor
23613584,Karrikin Receptor Ligand
8426361,Thrombin Inhibitor
12699380,NO_CHEMICAL_FUNCTIONAL_DESCRIPTORS
17154522,Anticancer
34055228,COX-1 Inhibitor
33992863,HIF-1Alpha Inhibitor / Cytostatic / Apoptosis Inducer / Hypoxia Ameliorator
11020298,Antibiotic / Cytotoxic
26632862,mu-Opioid Receptor Antagonist
19757822,Amyloid Plaque Imaging / Alzheimer's Disease / PET Tracer
34328726,ACE2 Antagonist / SARS-CoV-2 Inhibitor
34111829,HDAC2/FAK Inhibitor / Anticancer / Cytostatic
24433966,Melanogenesis Stimulator
7783130,Positive Inotropic / Ca(2+)-ATPase Stimulator
24041123,CB1R Antagonist
24900362,Amyloid Plaque Imaging / PET Tracer / Alzheimer's Disease
1323127,RAR Alpha Antagonist
29091428,Dopamine Transporter Inhibitor / Cognitive Enhancer
18955529,NO_CHEMICAL_FUNCTIONAL_DESCRIPTORS
18831569,Anti-Inflammatory
25438754,Anticancer
8151616,Growth Hormone Secretagogue
25946116,Antiviral / Chikungunya / HIV
3121857,Aldose Reductase Inhibitor / Sorbitol Formation Inhibitor / Diabetic Complications
22025698,D2R Agonist / Beta-arrestin-biased / Antipsychotic
30888159,Protease Inhibitor
27485600,Antimalarial
17115692,Protein Kinase Inhibitor / Diabetic Complications
20451398,Serotonin Receptor Antagonist / PET Radiotracer
20672825,Selective Serotonin Reuptake Inhibitor / SSRI / Serotonin Transporter Binder / Antidepressant
30108791,S1P(1) Receptor modulator / Prodrug
1648619,Opioid Receptor Ligand
1317924,PAF Antagonist / Platelet Activation
16762314,TACE Inhibitor
15341944,MCHr1 Antagonist
18032042,Wnt Signal Inhibitor
24836069,PTP1B Inhibitors
29566337,Wnt/beta-Catenin Inhibitor
